seconds, weight, velocity
0.000000,2897000.000000,0.000000
1.000000,2853980.000000,44.252537
2.000000,2810960.000000,248784224.748665
3.000000,2767940.000000,1377239116533279.000000
4.000000,2724920.000000,7505730072369492393984.000000
5.000000,2681900.000000,40259219950715345689143934976.000000
6.000000,2638880.000000,212478420168647499146702550625943552.000000
7.000000,2595860.000000,1103128038601130290668562406147771976384512.000000
8.000000,2552840.000000,5632216557868941787748441886997122549983886704640.000000
9.000000,2509820.000000,28271688258108141750040113931105150471506174718798462976.000000
10.000000,2466800.000000,139481144646825799379973486807144807917355033414244410184433664.000000
11.000000,2423780.000000,676142938581877641183792316346613834953811782363386289462696361328640.000000
12.000000,2380760.000000,3219466772630504967234290888591742659664248968371886958946380895596530630656.000000
13.000000,2337740.000000,15052546067164928046320289694752700964665019103914685303972376498027489020136652800.000000
14.000000,2294720.000000,69082726917397270344846085347669508309980425384019205866973892196701525671346536542371840.000000
15.000000,2251700.000000,311107014234353030015122266390607207752159144518614227678347084724879013980238401623952524836864.000000
16.000000,2208680.000000,1374271058184233206722140537304094472219329458442418559073264565702700791111512807732133262313526394880.000000
17.000000,2165660.000000,5952404971192416656360553532097165597221577727184158178648985713329969988871463532554737779265943187109183488.000000
18.000000,2122640.000000,25269613871293799945235638525336426482483269471069108301480377640780370610655870044421790937254197309303495017365504.000000
19.000000,2079620.000000,105102338258812272881596905425786488030260629406871493521241040502078252026992749738004680522154682928163575274570069835776.000000
20.000000,2036600.000000,428102633991117611888416063325451279567956558032728417980482345900978869426213464790491207885250028860534848159755432096987873280.000000
21.000000,1993580.000000,1706912841938756300680965419125946823718671388840212282518349666460569582378293285640064055834601029527066999986868861419004816995123200.000000
22.000000,1950560.000000,6658868412118436061708160577590828305095664724195946616741767051516002028082561621401042593903376135037273910156036080138361118967506046812160.000000
23.000000,1907540.000000,25404102383967978282392799599445730144487458948611236433970681439777727747417385379649923213142895393265634755512552691916552488203714141245520478208.000000
24.000000,1864520.000000,94732863145707176240592814422232363210777559325661926875183080880637921862353701603309241155192769590968259371810147629043025482393145022462331055769649152.000000
25.000000,1821500.000000,345111630974084939934645006932331864695273528123540573375685734138116320109548511582047640845462291548682272649542433443034697874249697177724937063343047370080256.000000
26.000000,1778480.000000,1227547576686319067277393814067261914843024979305026075580555463464928078740958593268276946619626112503662550254241697305575718356397962804788172154580617555796262125568.000000
27.000000,1735460.000000,4260716979776925422716296123377659660765055384181046461022345892488373299106386052377306581910825289697337290121359022620448417126832256155794668202632359403458484308969259008.000000
28.000000,1692440.000000,14422007169073358325237267513633279847564948461528099611833670571127126323863137844410410715648376758777581792869919890419112371638322341014960093091521843536101071908631909916213248.000000
29.000000,1649420.000000,47575865285611618529847625047191308222714316923468033947079826740730989485703835843208375274547291537950531508986572724570349358136353060532018709815134911694690110566034040687314253905920.000000
30.000000,1606400.000000,152851644837882436030972339488814879878652787053644960438248304046144457241232064057501422646427543755674713551508262344817360285850889529924059388211060712805527798322296029466862829756668182528.000000
31.000000,1563380.000000,477930103310007606920657649951212768504634385896715133673638293143766009822193543989044212523489091186742658904206395011675935816218719712216046190223499022410262095786456617775941925229928176339124224.000000
